Block	Column	Row	Name
6	3	1	0
6	4	1	0
6	5	1	0
6	6	1	0
6	7	1	0
6	8	1	0
6	9	1	0
6	10	1	0
6	11	1	0
6	12	1	0
6	1	2	carbsynthe_1389
6	2	2	carbsynthe_1387
6	3	2	carbsynthe_1389
6	4	2	carbsynthe_1387
6	5	2	0
6	6	2	0
6	7	2	0
6	8	2	0
6	9	2	0
6	10	2	0
6	11	2	0
6	12	2	0
6	1	3	carbsynthe_1246
6	2	3	carbsynthe_1270
6	3	3	carbsynthe_1246
6	4	3	carbsynthe_1270
6	5	3	carbsynthe_1317
6	6	3	carbsynthe_1412
6	7	3	carbsynthe_1317
6	8	3	carbsynthe_1412
6	9	3	carbsynthe_1359
6	10	3	carbsynthe_1371
6	11	3	carbsynthe_1359
6	12	3	carbsynthe_1371
6	1	4	carbsynthe_1389
6	2	4	carbsynthe_1387
6	3	4	carbsynthe_1389
6	4	4	carbsynthe_1387
6	5	4	0
6	6	4	0
6	7	4	0
6	8	4	0
6	9	4	0
6	10	4	0
6	11	4	0
6	12	4	0
6	1	5	carbsynthe_1246
6	2	5	carbsynthe_1270
6	3	5	carbsynthe_1246
6	4	5	carbsynthe_1270
6	5	5	carbsynthe_1317
6	6	5	carbsynthe_1412
6	7	5	carbsynthe_1317
6	8	5	carbsynthe_1412
6	9	5	carbsynthe_1359
6	10	5	carbsynthe_1371
6	11	5	carbsynthe_1359
6	12	5	carbsynthe_1371
6	1	6	carbsynthe_1389
6	2	6	carbsynthe_1387
6	3	6	carbsynthe_1389
6	4	6	carbsynthe_1387
6	5	6	0
6	6	6	0
6	7	6	0
6	8	6	0
6	9	6	0
6	10	6	0
6	11	6	0
6	12	6	0
6	1	7	carbsynthe_1246
6	2	7	carbsynthe_1270
6	3	7	carbsynthe_1246
6	4	7	carbsynthe_1270
6	5	7	carbsynthe_1317
6	6	7	carbsynthe_1412
6	7	7	carbsynthe_1317
6	8	7	carbsynthe_1412
6	9	7	carbsynthe_1359
6	10	7	carbsynthe_1371
6	11	7	carbsynthe_1359
6	12	7	carbsynthe_1371
6	1	8	carbSynthe_0726
6	2	8	carbSynthe_956
6	3	8	carbSynthe_0726
6	4	8	carbSynthe_956
6	5	8	carbSynthe_936
6	6	8	carbSynthe_1010
6	7	8	carbSynthe_936
6	8	8	carbSynthe_1010
6	9	8	carbSynthe_1075
6	10	8	carbSynthe_1095
6	11	8	carbSynthe_1075
6	12	8	carbSynthe_1095
6	1	9	carbSynthe_0887
6	2	9	carbSynthe_0614
6	3	9	carbSynthe_0887
6	4	9	carbSynthe_0614
6	5	9	carbSynthe_0847
6	6	9	carbSynthe_0621
6	7	9	carbSynthe_0847
6	8	9	carbSynthe_0621
6	9	9	carbSynthe_1171
6	10	9	carbSynthe_0778
6	11	9	carbSynthe_1171
6	12	9	carbSynthe_0778
6	1	10	carbSynthe_0726
6	2	10	carbSynthe_956
6	3	10	carbSynthe_0726
6	4	10	carbSynthe_956
6	5	10	carbSynthe_936
6	6	10	carbSynthe_1010
6	7	10	carbSynthe_936
6	8	10	carbSynthe_1010
6	9	10	carbSynthe_1075
6	10	10	carbSynthe_1095
6	11	10	carbSynthe_1075
6	12	10	carbSynthe_1095
6	1	11	carbSynthe_0887
6	2	11	carbSynthe_0614
6	3	11	carbSynthe_0887
6	4	11	carbSynthe_0614
6	5	11	carbSynthe_0847
6	6	11	carbSynthe_0621
6	7	11	carbSynthe_0847
6	8	11	carbSynthe_0621
6	9	11	carbSynthe_1171
6	10	11	carbSynthe_0778
6	11	11	carbSynthe_1171
6	12	11	carbSynthe_0778
6	1	12	carbSynthe_0726
6	2	12	carbSynthe_956
6	3	12	carbSynthe_0726
6	4	12	carbSynthe_956
6	5	12	carbSynthe_936
6	6	12	carbSynthe_1010
6	7	12	carbSynthe_936
6	8	12	carbSynthe_1010
6	9	12	carbSynthe_1075
6	10	12	carbSynthe_1095
6	11	12	carbSynthe_1075
6	12	12	carbSynthe_1095
6	1	13	carbSynthe_0887
6	2	13	carbSynthe_0614
6	3	13	carbSynthe_0887
6	4	13	carbSynthe_0614
6	5	13	carbSynthe_0847
6	6	13	carbSynthe_0621
6	7	13	carbSynthe_0847
6	8	13	carbSynthe_0621
6	9	13	carbSynthe_1171
6	10	13	carbSynthe_0778
6	11	13	carbSynthe_1171
6	12	13	carbSynthe_0778
6	1	14	0
6	2	14	0
6	3	14	0
6	4	14	0
6	5	14	0
6	6	14	0
6	7	14	0
6	8	14	0
6	9	14	0
6	10	14	0
6	11	14	0
6	12	14	0
7	1	1	0
7	2	1	0
7	3	1	0
7	4	1	0
7	5	1	0
7	6	1	0
7	7	1	0
7	8	1	0
7	9	1	0
7	10	1	0
7	11	1	0
7	12	1	0
7	1	2	carbsynthe_1382
7	2	2	0
7	3	2	carbsynthe_1382
7	4	2	0
7	5	2	0
7	6	2	0
7	7	2	0
7	8	2	0
7	9	2	0
7	10	2	0
7	11	2	0
7	12	2	0
7	1	3	carbSynthe_1258
7	2	3	carbsynthe_1305
7	3	3	carbSynthe_1258
7	4	3	carbsynthe_1305
7	5	3	carbsynthe_1330
7	6	3	carbsynthe_1381
7	7	3	carbsynthe_1330
7	8	3	carbsynthe_1381
7	9	3	carbSynthe_1418
7	10	3	carbsynthe_1378
7	11	3	carbSynthe_1418
7	12	3	carbsynthe_1378
7	1	4	carbsynthe_1382
7	2	4	0
7	3	4	carbsynthe_1382
7	4	4	0
7	5	4	0
7	6	4	0
7	7	4	0
7	8	4	0
7	9	4	0
7	10	4	0
7	11	4	0
7	12	4	0
7	1	5	carbSynthe_1258
7	2	5	carbsynthe_1305
7	3	5	carbSynthe_1258
7	4	5	carbsynthe_1305
7	5	5	carbsynthe_1330
7	6	5	carbsynthe_1381
7	7	5	carbsynthe_1330
7	8	5	carbsynthe_1381
